Title,PID,file,First-broadcast,Presenter,Production,Producer,Description,Archive-details
A Matter of Principle,b012f7dn,,10/07/2011,Mark Tully,Unique,Frank Stirling,"In 'A Matter of Principle', Mark Tully discusses just how far we should go to stand up for what we believe in. Principles are usually, by definition, worth fighting for. They are high-minded, honourable things and when people stand up for their principles, real, positive changes are often made. Yet the risk of fighting for a principle can also be very great and can sometimes cause extraordinary pain without achieving anything at all.<br/><br/>In the company of Shami Chakrabarti, the Director of 'Liberty', Mark Tully examines this paradox and asks whether some principles should be more absolute than others. The subject is illustrated with readings from the works of T. E Lawrence, W.H. Auden, Jackie Kay and Claude McKay and with music from Bob Marley, Joan Baez and Mikis Theodorakis.<br/><br/>The readers are Alistair McGowan and Adjoa Andoh.",
A Mirror for the Soul,b00p0486,,29/11/2009,Mike Wooldridge,Unique,,"Mike Wooldridge considers the Sufi tradition - its history, beliefs and practices and the mystical experience that lies at its very heart.<br/><br/>The readers are Janice Acquah, Nicholas Boulton and Frank Stirling.",
A Place Called Home,b03vcyww,,16/2/2014,John McCarthy,Whistledown,Rose de Larrabeiti,"It is the most human of instincts - to make a home. To establish a place of security and comfort that comes to express who we are and how we like to live. There is no one way of doing it and, for most, 'home' can mean many different things - not always associated with an actual place, but often connected to people such as loved ones, family and friends. A sense of home can also be connected to the intangible, built up through our own private memories and our sense of self.<br/><br/>Mathematician Paul Erdös claimed 'the world is my home' as he spent more than six decades living out of two old battered suitcases, chasing mathematical problems across the globe. Fellow mathematician, Ron Graham, invited Erdös to stay in his New Jersey home. He shares his recollections of this eccentric house guest for whom home was an entirely fluid concept.<br/><br/>Through the poems of Tony Connor, the music of PJ Harvey and The Band, John McCarthy also explores the adolescent desire to break free from the claustrophobia of the childhood home, and we hear personal accounts of clearing out those same childhood homes once our parents have died or moved on.<br/><br/>John visits the home of Cecil Balmond - designer, architect and engineer. Sri-Lankan born, when Cecil settled in London in the 70s, he found a wreck of a house and made it into his family's home.<br/><br/>Cecil reveals what it was like leaving his childhood home to re-establish a sense of home in a new country and city. And he shares the deeply personal recollection of how his understanding of home was redefined after a visit to his native Sri-Lanka coincided with the devastation of the 2004 Tsunami.",
A Place Within,b00774ms,,25/2/2007,Fergal Keane,Loftus,,A Place Within. With Fergal Keane.,
A Precious Commodity,b00mtpdd,,27/9/2009,Fergal Keane,Unique,,"Silence is something many of us crave in a world full of clamour, but, as Fergal Keane discovers, it means much more than the mere absence of noise.<br/><br/>The readers are Ian Masters and Liza Sadovy.",
A seasonal theme,,,3/12/1995,Mark Tully,Unique,,Mark Tully chooses words and music with a seasonal theme.,
A Sense of Belonging,b09y6z1w,,8/4/2018,Mark Tully,7digital,Frank Stirling,"Is the desire to belong one of the basic instincts underpinning human society? Mark Tully explores what causes the need to belong, what a sense of belonging offers us and whether it's possible to live without it.<br/><br/>There are readings from the work of novelist William Somerset Maugham, Archbishop Desmond Tutu and the young New Zealand poet Lang Leav. Music comes from Louis Armstrong, Francis Poulenc and Suzanne Vega.<br/><br/>The readers are Cyril Nri and Emma Pallant.",
A Sense of Failure,b01n0t56,TRUE,30/9/2012,Ian Sansom,Falling Tree,Alan Hall,"The author Ian Sansom reflects on why it is that some of the most successful people are haunted by a sense of failure and considers his own experience as a writer - a profession that thrives on failure with literature 'emerging magnificently from error and untruths'.<br/><br/>With reference to the writings of Paul Auster, William James and Wallace Stevens, and music by Leos Janacek, William Shatner and Laura Marling,<br/><br/>Readers: Adjoa Andoh and Sam Peter Jackson",
A Sense of Home,b00dcczc,,14/9/2008,Andrew Motion,,,"Poet Laureate Andrew Motion revisits Stisted, the village where he spent the first nineteen years of his life, and considers the complex feelings associated with a sense of home.",
A Short Madness,b00tf1js,,22/8/2010,Fergal Keane,Unique,Ronni Davis,Fergal Keane reflects on the value of anger. Is it a force for energy? The inspiration of great art and literature? Or the cause of destructive behaviour?<br/><br/>With readings from Liza Sadovy and Joseph Kloska.,
A Special Tribute to Nelson Mandela,b03kpky2,,8/12/2013,Mike Wooldridge,Unique,Eley McAinsh,"Mike Wooldridge presents a celebration of the life and career of Nelson Mandela in a special edition of Something Understood with readings by Adjoa Andoh and Colin MacFarlane.<br/><br/>In a tribute to the life and extraordinary achievements of Nelson Mandela, Mike Wooldridge presents a portrait of South Africa's great statesman, philanthropist and President through readings of a wide and affecting range of friends and admirers - Desmond Tutu, the late Seamus Heaney, Tanzanian poet and songwriter Nasibu Mwanukusi, as well as Robben Island warder James Gregory and the grandson of the architect of apartheid and ANC supporter Wilhelm Verwoerd.<br/><br/>Music is drawn from work Mandela himself was known to love and the enormous range of work written in tribute to him throughout his life.",
A Spirit of Adventure,b0144rq9,,4/9/2011,Mark Tully,Unique,Frank Stirling,"When we are children we love adventure stories. As we get older some of us worry about doing anything risky. Others crave taking bigger risks - explorers, climbers, war correspondents, sportsmen and women - many get addicted to the heightened reality of the adrenaline rush. Is there a mean line to be struck? What motivates adventurers?<br/><br/>Mark Tully asks what the spiritual benefits of adventuring might be with the help of Ranulph Fiennes, Thor Heyerdahl and Lewis Carroll. Music is provided by Danny Elfman, John Adams, Elgar and Sibelius.<br/><br/>The readers are Adjoa Andoh and Alistair McGowan.",
A Spiritual Society,b017c8dy,,20/11/2011,Mark Tully,Unique,Frank Stirling,"Mark Tully explores what we mean by 'spirituality' and with the help of Professor Ursula King, author of The Search for Spirituality, he considers whether a spiritual life can transcend the purely individualistic and become a force for social good.<br/><br/>In 'A Spiritual Society' Mark draws on music by Gustav Holst, Carlos Santana and Neil Young, and readings by Dorothy L. Sayers, Denise Levertov and David Scott. The readers are Samantha Bond and Jack Shepherd.",
A Sympathy in Choice,b00shfq1,,30/5/2010,Mark Tully,Unique,Eley McAinsh,"Mark Tully asks what triggers our sympathy, especially for someone we've previously ignored or despised. What happens when our heart is turned, in a moment, from indifference to compassion?",
A Taste for the Big Apple,b014f3xm,,11/9/2011,Irma Kurtz,Unique,Ronni Davis,"On this tenth anniversary of the attack on the World Trade Centre, the veteran writer and broadcaster Irma Kurtz shares her memories of living in New York City in ""A Taste For The Big Apple"". These include sleeping under newspapers in Washington Square Park and frequenting the famous 'White Horse Tavern' on Hudson Street where Dylan Thomas drank, James Baldwin worked behind the bar and the Beat poets dropped in.<br/><br/>Her final memories on the programme concern the events of 9/11. On that day she was staying with her mother in New Jersey, idly watching the television when in front of their eyes the towers shook and crumbled, billows of smoke unrolled against the sky and they saw the silhouette of a man falling from the top of the towers.<br/><br/>A terrible silence ensued as the traffic in the surrounding streets stopped. When public transport was reinstated she caught the train to Manhattan and found streets full of smoke and dust and poignant messages pinned on public walls: ""Have you any information, please...?"" Then she saw a man selling t-shirts printed ""I survived 9/11"" and youths breakdancing in Herald Square and thought that despite the worst that could be thrown at it, New York was still alive and kicking.<br/><br/>The programme includes writing by Allen Ginsberg, Dorothy Parker, Harvey Shapiro and Damon Runyon.<br/><br/>The readers are Kim Cattrall and Peter Marinker.",
A Walk in the Woods,b071lfkd,TRUE,28/2/2016,Rikke Houd,Falling Tree,Alan Hall,"Our relationship to the forest is ancient and complex. Woodland offers protection but also harbours some of our deepest fears.<br/><br/>Danish radio producer Rikke Houd takes a walk in the forest, in the company of writers including Henry David Thoreau, Pablo Neruda, Dinah Hawken and the Swedish poet Tomas Tranströmer, and discovers a place where we can both lose and find ourselves.<br/><br/>With music by Jussi Björling, the Polish composer and dendrophiliac Krzysztof Penderecki and the Swedish musician Victoria Bergsman, who performs as Taken By Trees.",
A Wing and a Prayer,b0707y3n,TRUE,14/2/2016,John McCarthy,Whistledown,Matt Taylor,"John McCarthy explores the sacred and profane place of birds in our daily lives.<br/><br/>He considers the many spiritual meanings birds have for humans. From doves as biblical heralds of the Holy Spirit to ravens in the Qur’an, birds are at the iconic heart of almost all world religions. But how did they get there? Is it their ability to fly which grips us? Or the apparent purity and beauty of (many) of their songs and calls?<br/><br/>Along the way, John explores the parallels between listening to Vaughan Williams’ Lark Ascending, hearing a dawn chorus in Kielder Forest and seeking a personal pathway to the divine. He also recalls a bird-inspired moment of hope during his time in captivity in Lebanon - a memory triggered by the music of the singer, Fairouz.<br/><br/>John meets keen birdwatcher and author, Stephen Moss who tells how his love of birds helped him through divorce and bereavement, and reveals the true meanings of birdsong, which prove to be both paradoxical and far more profane than sacred.<br/><br/>The programme includes poetry from John Clare, prose from Gerald Durrell, and music from Canteloube, Respighi and Chris Watson.<br/><br/>The readers are Madeleine Bowyer and Peter Marinker.",
A Winter Solstice,b04vd68z,,21/12/2014,Mark Tully,Unique,Frank Stirling,"This Sunday before Christmas falls on the Winter Solstice. The shortest day of the year is a turning point in the calendar that has been celebrated throughout history. There are examples of Winter Solstice Festivals to be found in most cultures and the need to celebrate on the darkest day seems universal.<br/><br/>Mark Tully examines the antecedents of the midwinter festival and explores the human need to celebrate the cold and dark with warmth and light. From Ancient Rome to downtown LA and from pagan Scandinavia to modern China, he presents a celebration of a Winter Solstice - with readings from the work of John Keats, Ruth Fainlight and Craig Childs and music by Monteverdi, Franz Schubert and the Vienna Klezmer Band.<br/><br/>The readers are David Holt, Francis Cadder and Lucy Briers.",
Abraham's Legacy,b00z2r56,,6/3/2011,Mark Tully,Unique,Adam Fowler,"Mark Tully considers Abraham's legacy for Judaism, Islam and Christianity with the help of composer, Steve Reich and video artist, Beryl Korot. Using excerpts from their composition, 'The Cave', Reich and Korot explore what Abraham means to modern day Israelis, Palestinians and Americans, and search for some kind of meaning that can cross political and religious divisions.<br/><br/>Choosing readings and music from the three traditions Mark Tully explores what is common to their tellings of the Abraham story and what is unique. He asks whether there can be any relevance in the story for us, in our everyday lives and whether the trust and unquestioning faith that Abraham shows is always a good thing. And finally, he considers whether Abraham really can unite people of different faiths, or, in the end, only stand as a symbol of difference.",
Absolutely Honest,b00ps6qs,,17/1/2010,Mark Tully,Unique,,"Mark Tully asks if absolute honesty is always the best policy, and questions philosopher AC Grayling about his suggestion that dishonesty can sometimes even be virtuous.<br/><br/>The readers are Emily Raymond and David Westhead.",
Abstinence,b03wgy6l,TRUE,2/3/2014,Mark Tully,Unique,Frank Stirling,"As Lent approaches, Mark Tully discusses the purpose and effects of fasting. Why do so many faiths consider fasting so virtuous?<br/><br/>In conversation with the broadcaster and writer John Butt, a convert to Islam of forty-five years standing, he discusses the varied approaches to fasting in the major faiths.<br/><br/>With readings from Gerard Manley Hopkins and Patrick Leigh Fermor, and music ranging from Bhim Sen Joshi and The Irish Descendants to Antonin Tucapsky, he examines the pleasures and pitfalls of abstinence and self-denial.<br/><br/>The readers are Robert Glenister and Francis Cadder.",
Abstinence,,,9/4/1995,Mark Tully,Unique,,"Mark Tully contemplates abstinence in an anthology of music, verse, prose and conversation.",
Acceptance,,,21/5/1995,Mark Tully,Unique,,Mark Tully considers acceptance - of ourselves and of others.,
Advent,m0001q4q,TRUE,23/12/2018,Robin Griffith-Jones,TBI,Michael Wakelin,"The Reverend Robin Griffith-Jones, Valiant Master of the Temple in London, explores the nativity narratives recorded in the Gospels of Matthew and Luke.<br /><br />The familiar tales of virgin birth, shepherds and Magi are intriguing and laden with symbolism and meaning. ""There is far more to them, as they were written then and as they have been read over the centuries, than meets the eye,"" he says.<br /><br />Robin explores Matthew's desire to show that all the events in his telling are there to fulfil prophecies in the Hebrew scriptures. ""In Jesus, Judaism’s most venerable prophecies and vastest hopes were coming to fruition. The prophet Isaiah had written of gentiles and kings coming to Jerusalem’s God-given light, bringing gold and incense and singing the praise of the Lord.""<br /><br />Luke meanwhile with his shepherds and the link to John the Baptist’s birth, has another agenda. ""Luke sees two stages in God’s dispensation for the world - the old order, centred in Jerusalem and its Temple, and the new order, realised in Jesus. In Luke’s grand narrative, the new grows out of the old, confirms it and transcends it.""<br /><br />To illustrate his thesis, Robin introduces music from Handel and Bach and the poetry of TS Eliot and John Donne.",
After dawn,b00bydfk,,8/06/2008,Mike Wooldridge,,,"Mike Wooldridge reflects on the first hour or so after dawn - the hopes and fears, the opportunities and delights, the prayers and rituals of early morning across the globe.",
Ageing Well,b00clvf8,,20/7/2008,Mark Tully,,,"Mark Tully considers the wisdom that comes with age, and talks to Sr Pia Buxton CJ about the spirituality of ageing. How can we grow old gracefully and positively in our youth-obsessed and careless culture?",
Agony and Ecstasy,b0520t2c,TRUE,15/2/2015,John McCarthy,Whistledown,Colin McNulty,"If you're lucky enough to have felt it, a sudden overwhelming sense of well-being can be life-changing. Where do these crucial moments in our lives come from? Are they just chemicals reacting in the brain or could they originate from the divine?<br/><br/>John McCarthy reflects on the strange and sudden experience of euphoria. He begins with a deeply puzzling euphoric moment from his own life. Did he feel God or simply the release of endorphins? He revisits the trauma psychiatrist that helped him make sense of the bewildering experience.<br/><br/>John reflects on others' euphoric moments and their different sources - like religious ecstasy, brain disorders, drugs, exercise and music. He considers the mystical experiences of saints - Paul the Apostle's awakening on the road to Damascus, and St Teresa of Avila's sudden state of ecstasy consumed by the love of God.<br/><br/>Before his epileptic seizures, Fyodor Dostoevsky would experience staggering seconds of bliss, which influenced his writing and religious sentiments. In The Doors of Perception, Aldous Huxley detailed his euphoric experiences taking the hallucinogenic drug mescaline. Beyond the short-cut of mind-altering drugs, long-distance runners have often experienced euphoria after pushing their bodies to the absolute limit. The conclusion to Wagner's Tristan and Isolde climaxes with a musically-induced euphoria for both the audience and the performers.<br/><br/>Euphoria takes on many forms, but the feeling is often transformative. Euphoria can seemingly spontaneously enter one's life or can be experienced through the very human effort to transcend ordinary humdrum experience.",
Air and Angels,,,2/3/1995,,,Jocelyn Boxall,A new spiritual anthology.<br/>Air and Angels. Read by Vivien Heilbron and David Rintoul.,
"All Are Gone, the Old Familiar Faces",,,24/3/1995,,,Matthew Walters,"A new spiritual anthology. All Are Gone, the Old Familiar Faces read by Oliver Ford-Davies , Emma Fielding and Dominic Letts.",
All the Rage,b00c4jpd,,22/6/2008,Mark Tully,,,"Mark Tully asks why are so many of us so angry all the time. Road rage, trolley rage, air rage - why are sudden and uncontrolled explosions of rage on the increase? Are the roots of this anger social, cultural, spiritual or economic and how can it be reined in or even re-channelled for good?",
Always the Last to Be Picked,b01fhnsp,TRUE,8/4/2012,Mark Tully,Unique,Adam Fowler,"Mark Tully considers the enduring effects that being chosen last can have on us and asks whether the negative aspects of competition might out-way the positive.<br/><br/>We often think of those who get picked first as the winners, or the best. But Mark Tully chooses to focus instead on those who are left until the end, whose self-confidence is jeopardised in the name of sport, and in many other areas of our lives.<br/><br/>He also questions the underlying notion that our very existence depends on 'survival of the fittest', a phrase that is often used to justify ruthless competition and the rejection of 'losers'. He discovers that the term originally referred to the survival of species that can best fit their environment, often by cooperation rather than aggression.<br/><br/>So is society better for being competitive, or would life improve for everyone if the pressure to be the best was abandoned? And will the last ever be the first?<br/><br/>The readers are Emily Raymond, David Holt, Adam Fowler and Frank Stirling.",
Ambition,b00ct211,,3/8/2008,Mark Tully,,,"Mark Tully asks how ambitious we should be and whether ambition can be detrimental to spiritual growth. In fields such as politics, can too much ambition be dangerous?",
An Opinion of Dignity,b00nx0w4,,22/11/2009,Mark Tully,Unique,,"Mark Tully explores the meaning of dignity. For some, dignity is an innate and noble quality of humanity, for others it is a meaningless notion, and for Dr Johnson it is a complicating factor in human relationships.<br/><br/>The readers are Janice Acquah and Nicholas Boulton.",
An Upward Reach in the Heart of Man,,,7/3/1995,,,Matthew Walters,"A new spiritual anthology.<br/>An Upward Reach in the Heart of Man. Read by Oliver Ford Davies , Emma Fielding and Dominic Letts.",
Angels,,,30/7/1995,Mark Tully,Unique,,Mark Tully reflects on angels.,
Anger,,,11/2/1996,Mark Tully,Unique,,Mark Tully explores the theme of anger.,
Anger,b038x32q,TRUE,25/8/2013,Llewelyn Morgan,Falling Tree,Alan Hall,"Classicist Llewellyn Morgan confesses that he is what Aristotle called an 'orgilos', a naturally irascible man!<br/><br/>In this edition of Something Understood, he draws upon the reflections and experiences of writers including James Lasdun, Dorianne Laux and Timothy Steele to explore an emotion that isn't always as negative as it might at first appear. With music by Elvis Costello, Monteverdi and Arvo Part.",
Anger and Spirituality,,,24/9/1995,Mark Tully,Unique,,Mark Tully explores how spirituality both provokes and eases anger.,
Animals,b012zzzw,TRUE,7/8/2011,Mark Tully,Loftus,Elizabeth Burke,"Mark Tully explores our relationship with animals. He talks to Jane Goodall, who has spent her life living among chimpanzees, about how apes have changed her way of thinking. With readings by Jenny Diski, David Constantine, Alexander Pope and Jeremy Bentham, and music by John Tavener, Joseph Haydn and St Francis of Assisi.",
Anthem,b01pz58n,,20/1/2013,Mark Tully,Unique,Adam Fowler,"To a soundtrack of patriotism, Mark Tully ponders the function and future of National Anthems.<br/><br/>He wonders why so many of them sound so similar, and why countries often rely on militaristic bombasts, or hymn-like dirges, rather than drawing from the variety of their own indigenous musical traditions. He discovers the oldest - and the newest - anthem, stumbles across the allegedly disreputable origins of the Star Spangled Banner, and uncovers some rather famous foreign fans of the British National Anthem.<br/><br/>But is it time for less jingoism in the music which nations play in celebration of themselves. In the 21st century, do we need anthems which inspire us to be patriotic citizens of the world, rather than stressing our identity as members of different nations?",
Anticipation,b03jyf67,TRUE,1/12/2013,Mark Tully,Unique,Adam Fowler,"Mark Tully looks at both sides of anticipation and how we can either relish or dread what is to come. He considers the problems of anticipating too much, or too little, with the help of Thomas Hardy, Ralph Vaughan Williams, Linda Pastan and Winnie the Pooh.<br/><br/>Can neuroscience explain why the anticipation of something bad is often worse than the actual event or the prospect of a treat sometimes better than the treat itself? And does the anticipation of the future, either good or bad, mean that we risk squandering the present? Or as Seneca said, ""Expecting is the greatest impediment to living. In anticipation of tomorrow, it loses today.""",
Apocalypse Now?,b00thdr2,,29/8/2010,Mark Tully,Unique,Eley McAinsh,Mark Tully reflects on the reasons behind the current raft of films with apocalyptic themes.<br/><br/>Why has every age and every culture created myths of catastrophe and destruction? What function do these myths perform?,
Archbishop Desmond Tutu,b009hqqw,,23/3/2008,Mark Tully,,,"In a special edition for Easter Day, Mark Tully talks to Desmond Tutu, the former Archbishop of Cape Town and Nobel Peace Laureate. He talks about about the experiences, practices and convictions which have underpinned his vision and given him the strength to work undeterred to bring that vision into being.",
Art of Prediction,b011zlcr,,19/6/2011,Mark Tully,Unique,Adam Fowler,"Mark Tully polishes his crystal ball and, with the help of prophets ancient and modern, ponders the value of prediction. Should we be grateful to those who can see the follies of our ways while we are in the thick of them? And should we be more prepared to listen to their foretellings, even if the news is bad.<br/><br/>In an interview for the programme, Julius Lipner, Professor of Hinduism and the Comparative Study of Religion at Cambridge University, explains the prophetic aspects of Hinduism, where the actions of this life can influence the next. He is sceptical about some of the devices used by soothsayers to ensure that what they say can be interpreted as correct, whatever actually happens. He has some sympathy, though, for those who make predictions and expose themselves to our tendency to 'shoot the messenger' if we don't like the message.<br/><br/>Tully, himself, wonders briefly if there is any point in trying to prophesize what is ahead:'To those who will be alive in the future, our present, and its prophecies will be irrelevant, as they look to their futures.' But, in the end, he comes down very much in favour of contemplating the future consequences of our current actions.<br/><br/>It's unlikely, though, that all our predictions will be as prescient as Friar Roger in the 13th century, quoted in the programme as foreseeing, 'optical instruments, mechanically propelled boats and flying machines'.",
Artificial Soul,b03gtnng,,10/11/2013,John McCarthy,Whistledown,Jo Fidgen,"As robots become more human-like, John McCarthy asks whether there is any aspect of humanity that could never be programmed into a machine.<br/><br/>Experts from the informatics department of King's College, London, reflect on the possibility of developing artificial emotions, morality and creativity. Will there come a time when it will be impossible to tell a machine from its maker?<br/><br/>The programme includes extracts from the first work of fiction about robots, by the Czech playwright Karel Capek, as well as more recent imaginings by Isaac Asimov.<br/><br/>William James, Andrew Marvell and Richard Dawkins muse on the nature of self, soul and culture.<br/><br/>We hear computer-generated music, as well as compositions by Stockhausen, Wasifuddin Dagar and Regina Spektor.<br/><br/>Readers: Michael Colgan and Sarah Lawrie.",
As I Was Young and Easy,b04stgyd,,30/11/2014,John McCarthy,Whistledown,Ruth Abrahams,"John McCarthy explores the sense of timeless wonder that we can experience in childhood. Unravelling Dylan Thomas's poem Fern Hill, where delight and joy run carefree alongside the poignant tension of time's relentless force, John asks if these temporary moments of grace are mere fleeting illusion or whether they have a deeper significance.<br/><br/>Is a sense of being immersed in one's surroundings the preserve of a child growing up in a rural idyll, or can city children experience this too?<br/><br/>John joins the former Children's Laureate and author of War Horse and Private Peaceful, Michael Morpurgo, in Devon where he runs Farms for City Children. He shares his insights into what moments of escape from time can give children and how they can sustain us for the rest of our lives.<br/><br/>And Camila Batmanghelidjh, psychotherapist and founder of Kids Company (an organisation that provides support to vulnerable children and young people), reveals the emotional and environmental conditions that allow children's imaginations to flourish - where a state of 'merger' becomes 'the start of spiritual life'.<br/><br/>Readings range from Ted Hughes to Raymond Carver, and Arthur Ransome to Arundhati Roy. Music includes excerpts from Debussy, Catrin Finch and Seckou Keita, and Yann Tiersen.<br/><br/>Readers: Guy Masterson and Chetna Pandya",
As You Have Lived,b00hy5c3,,8/3/2009,Mark Tully,,,"Mark Tully explores how the way we choose to live our lives reveals our most powerful beliefs and motivations, whether we are conscious of them or not. What happens when our deepest beliefs and motivations prove to be at odds with those we profess?",
Ash Wednesday by T S Eliot,,,1/3/1995,,,Jocelyn Boxall,A new spiritual anthology.<br/>Ash Wednesday by T S Eliot. Read by Ian McDiarmid.,
Aspiration,b0b1p4xq,TRUE,6/5/2018,Mark Tully,7digital,Adam Fowler,"Mark Tully considers the worth of aspiring to greater things, taking as a starting point Robert Browning's words: ""....a man's reach should exceed his grasp, or what's a heaven for?""<br/><br/>The programme was inspired by an overheard conversation about whether advertising encourages aspiration or incites greed, and Mark explores how the messages used to sell us things can often disguise greed, and other deadly sins, as virtues worth aspiring to. Conversely, he puts in a good word for the way advertising can lead to a more aspirational world in general.<br/><br/>He also considers the progress we have made which would never have come about were it not for aspiration - from the Suffragette movement to the space race. But the case is also made for not overreaching our grasp, for appreciating what we already have, and for being freed from the anxiety of ambition.<br/><br/>With music ranging from Tom Waits' Step Right Up to JS Bach's, Jesu, Joy of Man's Desiring, and readings from the work of Jack Kerouac and Soren Kierkegaard, Mark celebrates many people's tendency to challenge the status into which they were born and to aspire to a better life.",
